Don 	Prérequis 	Description 	Eberron
Arcaniste		"Vous étudiez les arts des arcanes, et obtenez les avantages suivants :
Augmentez votre valeur d'Intelligence de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Arcanes. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Vous apprenez les sorts prestidigitation et détection de la magie. Vous pouvez lancer détection de la magie une fois sans dépenser d'emplacement de sort, et vous regagnez cette capacité lorsque vous terminez un long repos."	
Archiviste aerini	Elfe	Maîtrise magique ancestrale	x
Arme naturelle supérieure	Féral	Le dégâts augmentent d'un cran 1d2, 1d3, 1d4, 1d6, 1d8, 2d6, 3d6, 4d6, 6d6, 8d6, 12d6 ou 1d10, 2d8, 3d8, 4d8, 6d8, 12d8	x
Artiste		"Vous maîtrisez les représentations et la scène. Vous obtenez les avantages suivants :
Augmentez votre valeur de Charisme de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Représentation. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Lors d'une représentation, vous pouvez essayer de distraire un humanoïde que vous pouvez voir et qui peut vous voir et vous entendre. Faites un jet de Charisme (Représentation) opposé à un jet de Sagesse (Perspicacité) de l'humanoïde. En cas de réussite, vous captez suffisamment l'attention de l'humanoïde pour que ses jets de Sagesse (Perception) et d'Intelligence (Investigation) aient un désavantage jusqu'à ce que vous arrêtiez votre numéro."	
Athlète		"Vous avez suivi une forte formation physique qui vous donne les avantages suivants : 
Augmentez votre valeur de Force ou de Dextérité de 1, pour un maximum de 20.
Lorsque vous êtes à terre, vous relever prend seulement 1,50 mètre de votre mouvement.
Escalader ne vous coûte pas de mouvement supplémentaire.
Vous pouvez faire un saut en longueur ou en hauteur avec seulement 1,50 mètre d'élan, au lieu de 3 mètres."	
Asservissement d'élémentaires	Création d'objets merveilleux, Niveau 9 de lanceur de sort	Créer un object à élémentaire asservi ets proche de la conception d'un objet merveilleux en dehors du fait que l'appel et l'asservissement de l'élémentaire font partie intégrante du processus de création. Tous le sobjets à élémentaires asservis ont un sort de la famille de contrat dans leurs conditions de création ainsi qu'un dracolithede Khyber comme réceptacle. L'élémentaire a droit à un jet de sauvegarde. 	x
Attaquant sauvage		Une fois par tour quand vous lancez les dégâts d'une attaque au corps à corps avec une arme, vous pouvez relancer les dégâts de l'arme et choisir le meilleur des deux résultats.	
Attaque multiple du féral	Féral avec longues dents ou griffes affilées, bonus d'attaque +6	L'attaque secondaire avec une arme naturelle est de -2 au lieu de -5	x
Audace des nains	Nain	Vous êtes soit naturellement calme et le cœur résolu face à la terreur d'un danger imminant, ou bien vous être très bon pour le cacher. Vous êtes immunisé à la frayeur.	
Bagarreur de tavernes		"Habitué à vous battre comme un chiffonnier en utilisant tout ce qui vous tombe sous la main, vous recevez les bénéfices suivants :
Augmentez votre valeur de Force ou de Constitution de 1, sans dépasser 20.
Vous maîtrisez les armes improvisées.
Votre attaque à mains nues utilise un d4 pour les dégâts.
Pendant votre tour, si vous touchez une cible avec une attaque à mains nues ou une arme improvisée, vous pouvez utiliser une action bonus pour essayer d'engager une lutte avec la cible."	
Banquier Kundarak	Nain	Sécurité, contrats, résistance mentale	x
Broyeur		+1 en For. ou Con., mouvement extra de 1,50 m en cas d'attaque réussie et attaques avec avantage après un coup critique.	
Cambrioleur		"Vous vous vantez de votre rapidité et de votre connaissance approfondie de certaines activités clandestines. Vous gagnez les avantages suivants :
Augmentez votre valeur de Dextérité de +1, jusqu'à un maximum de 20.
Vous gagnez la maîtrise des outils de voleur. Si vous les maîtrisez déjà, vous ajoutez le double de votre bonus de maîtrise aux jets que vous faîtes avec eux.
Si vous tentez d'entrer par effraction dans un lieu, vous pouvez passer une journée à étudier les allés et venus, les points d'entrées et de sorties afin d'obtenir un maximum d'information utile. Lancez un jet d'Intelligence + votre bonus de maîtrise. Le DD dépend de la taille et de la sécurité de la structure étudiée. Sur un échec, vous éveillez les soupçons. Sur un succès partiel, vous obtenez les informations nécessaire afin de préparer un cambriolage. Sur un succès complet, vous trouvez une faille dans la sécurité qui vous permet d'y pénétrer sans avoir à faire aucun jet supplémentaire."	
Caméléon social	Changelin	Avantages en tromperie et persuasion	x
Cavalier de Talenta	Halfelin	Maîtrise des montures exotiques	x
Chance abondante	Halfelin	À chaque fois qu'un allié que vous pouvez voir et qui se trouve à 9 mètres ou moins de vous maximum obtient un 1 naturel sur un d20 lors d'un jet d'attaque, de caractéristique ou de sauvegarde, vous pouvez utiliser votre réaction pour permettre à cet allié de relancer son dé. L'allié est obligé d'utiliser le nouveau résultat.	
Chanceux	Humain	"Votre chance vous a sauvé plusieurs fois la vie par le passé. Vous obtenez les bénéfices suivants :
Si vous obtenez un 1 naturel sur un jet de sauvegarde, vous pouvez relancer ce dé. Vous devez utiliser ce nouveau résultat.
Si vous êtes la cible d'une attaque et qu'il s'agit d'un coup critique, vous pouvez annuler l'effet du critique. Vous ne pouvez réutiliser cette capacité qu'après avoir terminé un repos court ou long."	
Chargeur		Quand tu utilises l’action Foncer et que tu te déplaces d’au moins 3 mètres en ligne droite :Tu peux faire une attaque de mêlée en action bonus et tu choisis l’un des deux effets (+5 dégâts si tu fais une attaque d’arme de mêlée ou Pousser la cible de 3 mètres si tu fais une bousculade)	
Charge en puissance	Chargeur	Si chargeur et attaque atteint la cible +1d8 de dégâts si de taille M ou 2d6 si de taille G, 3d6 si TG, 4d6 si Gig ou 6d6 si C à sa première attaque. 	
Chef		+1 en Con. ou Sag., maîtrise des ustensiles de cuisinier et cuisine des plats qui redonnent des pv.	
Combattant à deux armes		"Vous maîtrisez le combat à deux armes, et obtenez les avantages suivants :
Vous gagnez un bonus de +1 à la CA si vous tenez une arme de corps à corps différente dans chaque main.
Vous pouvez utiliser le combat à deux armes même si les armes de corps à corps à une main que vous tenez ne sont pas légères.
Vous pouvez dégainer ou rengainer deux armes à une main alors que normalement vous ne pourriez le faire que pour une seule."	
Combattant monté		"Vous êtes un dangereux ennemi à affronter lorsque vous êtes monté. Lorsque vous êtes monté et pas incapable d'agir, vous gagnez les avantages suivants :
Vous avez l'avantage aux jets d'attaque au corps à corps contre toute créature non montée qui est plus petite que votre monture.
Vous pouvez forcer une attaque qui vous cible à cibler votre monture à votre place.
Si votre monture est soumise à un effet qui lui permet de faire un jet de sauvegarde de Dextérité pour ne prendre que la moitié des dégâts, elle ne prend aucun dégât si le jet de sauvegarde est réussi, et seulement la moitié des dégâts en cas d'échec."	
Constitution infernale	Tieffelin	"Votre héritage diabolique est particulièrement présent chez vous. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Constitution de 1, pour un maximum de 20.
Vous avez la résistance aux dégâts de froid et de poison.
Vous avez l'avantage à vos jets de sauvegarde effectués contre la condition empoisonné."	
Construction vivante avancée	Forgelier	Résistances accrues, endurance	x
Corps d'Adamantium	Forgelier	le bonus d'armure passe à +8 et résistance aux dégâts de 2/adamantium. Par contre vitesse de déplassement tombe à 6m et considéré comme portant une armure lourde. Le bonus de dextérité maximal à la CA passe à +1 et malus d'armure de 5 aux tests Acrobaties, Déplacement silencieux, Discrétion, Equilibre, EScalade, Escamotage, Evasion, Natation et Sauts) et échec aux sorts de 35%. 	x
Corps de Mithril	Forgelier	Le bonus d'"armure passe à +5 et est considéré porté une armure légère. Le bonus maximal à la Dextérité est de 5 et malus d'armure de 2 aux tests Acrobaties, Déplacement silencieux, Discrétion, Equilibre, EScalade, Escamotage, Evasion, Natation et Sauts) et échec aux sorts de 15%. 	x
Cuir du dragon	Drakéide	"Vous avez hérité de la puissance et de la majesté de vos ancêtres dragons. Vous obtenez les avantages suivants :
Augmentez votre valeur de Force, de Constitution ou de Charisme de 1, pour un maximum de 20.
Vos écailles se durcissent. Tant que vous ne portez aucune armure, votre CA est de 13 + votre modificateur de Dextérité. Vous pouvez utiliser un bouclier et profiter de cet avantage.
Des griffes rétractables ont poussé à l'extrémité de vos doigts. Sortir ou rentrer vos griffes ne requiert aucune action. Les griffes sont des armes naturelles que vous pouvez utiliser pour effectuer des attaques à mains nues. Si vous touchez au cours d'une attaque à mains nues, vous infligez un montant de dégâts tranchants égal à 1d4 + votre modificateur de Force, au lieu des dégâts contondants traditionnels des attaques à mains nues."	
Défense supérieure	Forgelier, bonus de base à l'attaque de 6	Immunité aux dégâts supplémentaires des attaque ssournoises et des coups critiques mais ne peut plus être soigné par les sorts du registre de la guérison	x
Détermination humaine	Humain	"Vous êtes mu par une volonté hors du commun, capable d'accomplir l'insurmontable. Vous obtenez les bénéfices suivants : 
Augmentez la valeur d'une de vos caractéristiques (au choix) de 1, pour un maximum de 20.
Lorsque vous effectuez un jet d'attaque, de caractéristique ou de sauvegarde, vous pouvez décider d'avoir l'avantage à votre jet. Vous ne pouvez réutiliser cette capacité qu'après avoir terminé un repos court ou long."	
Deuxième chance	Halfelin	"La chance vous sourit. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Dextérité, de Constitution, ou de Charisme de 1, pour un maximum de 20.
Lorsqu'une créature que vous pouvez voir vous touche avec un jet d'attaque, vous pouvez utiliser votre réaction pour obliger cette créature à relancer son jet. Une fois cette capacité utilisée, vous devez terminer un repos court ou long pour pouvoir la réutiliser."	
Diplomate		"Vous maîtrisez l'art de la diplomatie, et obtenez les avantages suivants :
Augmentez votre valeur de Charisme de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Persuasion. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Si vous passez une minute à parler à quelqu'un qui peut comprendre ce que vous dites, vous pouvez faire un jet de Charisme (Persuasion) opposé à un jet de Sagesse (Perspicacité) de la créature. Si vous ou vos compagnons combattez la créature, votre jet échoue automatiquement. En cas de réussite, vous charmez la cible tant qu'elle reste dans un rayon de 18 mètres autour de vous et pendant 1 minute par la suite."	
Discipline onirique	Kalashtar	Contrôle des rêves et de l’esprit	x
Discret	13 ou plus en Dextérité	"Vous savez comment bien vous cacher et obtenez les avantages suivants :
Augmentez votre valeur de Dextérité de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Discrétion. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Si vous êtes caché, vous pouvez vous déplacer de 3 mètres à découvert sans vous faire voir si vous terminez le mouvement dans une position où vous n'êtes pas clairement visible."	
Dresseur		"Vous maîtrisez les techniques nécessaires pour entraîner et dresser des animaux. Vous gagnez les avantages suivants :
Augmentez votre valeur de Charisme de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Dressage. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Vous pouvez utiliser une action bonus à votre tour pour dominer une bête amicale à 18 mètres ou moins de vous qui peut vous entendre et qui n'est pas dominée par quelqu'un d'autre. Vous décidez maintenant de l'action que prendra la bête et de l'endroit où elle se déplacera au cours de son prochain tour, ou vous lui donnez un ordre générale qui dure 1 minute, comme protéger une zone particulière."	
Doué		Vous gagnez la maîtrise de trois compétences ou outils de votre choix, avec la combinaison que vous souhaitez.	
Duelliste défensif	13 ou plus en Dextérité	Lorsque vous tenez une arme de finesse que vous maîtrisez et qu'une autre créature vous touche avec une attaque au corps à corps, vous pouvez utiliser votre réaction pour ajouter votre bonus de maîtrise à votre CA pour cette attaque, ce qui pourrait faire que l'attaque vous rate.	
Ecailles renfocées	Drakéide	Les écailles du drakéide deviennent plus épaisses et résistantes. Sa protection naturelle s’améliore (CA+2), lui permettant de mieux encaisser les coups sans entraver sa mobilité.	
Effacement	Gnome	"Vous pouvez puiser dans votre héritage magique pour vous échapper du danger. Vous obtenez les bénéfices suivants :
Augmentez votre valeur d'Intelligence de 1, pour un maximum de 20.
Lorsque vous subissez des dégâts, vous pouvez utiliser votre réaction pour devenir invisible par magie jusqu'à la fin de votre prochain tour ou jusqu'à ce que vous attaquiez, infligiez des dégâts, ou forciez quelqu'un à effectuer un jet de sauvegarde. Une fois utilisée, vous devez terminer un repos court ou long avant de pouvoir réutiliser cette capacité."	
Eloquent		"Vous développez vos talents de communication pour mieux tromper les autres. Vous obtenez les avantages suivants :
Augmentez votre valeur de Charisme de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Tromperie. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Lorsque vous prenez l'action Attaquer à votre tour, vous pouvez remplacer une attaque par une tentative de tromper un humanoïde que vous pouvez voir à 9 mètres ou moins de vous et qui peut vous voir et vous entendre. Faites un jet de Charisme (Tromperie) opposé à un jet de Sagesse (Perspicacité) de la cible. En cas de réussite, votre mouvement ne provoque pas d'attaque d'opportunité de la cible et vos attaques contre elle ont l'avantage. Ces deux gains durent jusqu'à la fin de votre prochain tour ou jusqu'à ce que vous utilisiez cette capacité sur une cible différente. En cas d'échec, vous ne pouvez plus tromper la cible de cette façon durant 1 heure."	
Empaleur		+1 en For. ou Dex., relance un dé de dégâts en cas d'attaque réussie et un dé de dégâts supplémentaire en cas de coup critique.	
Empathique		"Vous devinez la façon dont les autres pensent et ressentent. Vous obtenez les avantages suivants :
Augmentez votre valeur de Sagesse de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Perspicacité. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Vous pouvez utiliser votre action pour essayer d'avoir une troublante intuition au sujet d'un humanoïde que vous pouvez voir à 9 mètres ou moins de vous. Faites un jet de Sagesse (Perspicacité) opposé à un jet de Charisme (Tromperie) de la cible. En cas de réussite, vous avez l'avantage aux jets d'attaque et de caractéristique contre la cible jusqu'à la fin de votre prochain tour."	
Empoisonneur		Maîtrise du kit d'empoisonneur, application par une action bonus et vos attaques ignorent la résistance aux dégâts de poison.	
Endurant		"Robuste et résistant, vous gagnez les avantages suivants :
Augmentez votre valeur de Constitution de 1, jusqu'à un maximum de 20.
Lorsque vous jetez un Dé de vie pour regagner des points de vie, le nombre minimum de points de vie que vous regagnez de ce jet est égal à deux fois votre modificateur de Constitution (minimum 2)."	
Esprit affûté		"Vous avez un esprit qui permet de repérer le temps, les directions et les détails avec une précision étonnante. Vous obtenez les avantages suivants :
Augmentez votre valeur d'Intelligence de 1, jusqu'à un maximum de 20.
Vous savez toujours où est le nord.
Vous savez toujours le nombre d'heures restantes avant le lever du soleil suivant ou le coucher du soleil.
Vous pouvez vous rappeler avec précision ce que vous avez vu ou entendu au cours du mois passé."	
Esprit coopératif	Humain	"Vous avez appris qu'il n'y a qu'en mettant vos différences de côtés et en vous entraidant que vous pouvez accomplir de grandes choses. Vous obtenez les bénéfices suivants :
Lorsque vous utilisez l'action Aider, vous octroyez un bonus de 1d4 au jet de la cible.
Vous pouvez Aider un allié au prix d'une réaction."	
Esprit solide	Kalashtar, Sag 11	Le personnage bénéficie d'un bonus de +3 au jet de sauvegarde contre les effets psioniques et les attaques psychiques les avantages de ce don ne s'appliquent pas contre les sorts les pouvoirs magiques et les objets magiques qui ne font que reproduire des effets psioniques 	x
Eventration du prédateur	Féral, BBA +4	Si le personnage réussit ces 2 attaques de griffes dans le même Rhône il infligent des dégâts supplémentaires s'élevant à Un des Plus modificateur de force auquel s'ajoute un point par tranche de 4 niveaux 	
Expert de la charge		"Lorsque vous utilisez votre action pour Foncer, vous pouvez utiliser une action bonus pour faire une attaque au corps à corps avec une arme ou bousculer une créature.
Si vous vous déplacez d'au moins 3 mètres en ligne droite juste avant de prendre cette action bonus, vous gagnez soit un bonus de +5 aux dégâts de l'attaque (si vous avez choisi de faire une attaque au corps à corps et que vous touchez), soit vous repoussez la cible jusqu'à 3 mètres de vous (si vous avez choisi de la bousculer et que vous réussissez)."	
Explorateur de donjons		"Vigilant face aux pièges cachés et portes secrètes que l'on trouve dans de nombreux donjons, vous obtenez les avantages suivants :
Vous avez l'avantage aux jets de Sagesse (Perception) et Intelligence (Investigation) effectués pour détecter la présence de portes secrètes.
Vous avez avantage aux jets de sauvegarde pour éviter ou résister aux pièges.
Vous obtenez la résistance aux dégâts infligés par les pièges.
Vous pouvez rechercher des pièges tout en vous déplaçant à un rythme normal, au lieu d'un rythme lent."	
Faiseur de Merveilles	Gnome	"Vous maîtrisez les techniques d'artisanat de votre peuple. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Dextérité ou d'Intelligence de 1, pour un maximum de 20.
Lorsque vous effectuez un jet utilisant votre maîtrise des outils de bricoleur, vous ajoutez le double de votre bonus de maîtrise à ce jet.
Lorsque vous fabriquez un mécanisme avec votre trait Bricoleur, vous disposez des options supplémentaires listées ci-dessous :
Alarme. Ce mécanisme repère une créature qui se déplace dans un rayon de 4,50 mètres autour de lui sans prononcer à haute voix le mot de passe choisi lorsqu'il a été créé. Le round après que la créature ait pénétré dans sa zone de détection, l'alarme déclenche une sonnerie stridente qui dure 1 minute et peut être entendue jusqu'à 90 mètres à la ronde.
Calculateur. Ce mécanisme permet d'effectuer des additions facilement.
Cric. Ce mécanisme peut être utilisé comme appareil de levage ou comme moyen de blocage, permettant à son utilisateur de soulever jusqu'à 5 fois plus de poids que ce qu'il pourrait normalement soulever.
Garde-temps. Cette montre à gousset permet de connaître avec précision l'heure qu'il est.
Station météo. En utilisant une action, ce mécanisme prédit les conditions météorologiques à venir dans les 4 prochaines heures dans un rayon de 1,6 kilomètre, indiquant un symbole (nuage, soleil/lune, pluie ou neige) pour chacune des heures."	
Férocité férale	Féral, Sag13	En état de sauvagerie le personnage peut continuer à se battre sans malus quand il est hors de combat ou mourant. À 0 point de vie Il peut continuer à agir comme s'il n'était pas hors de combat ce qui signifie qu'il n'est pas limité à une seule action de mouvement ou action simple par round. Il ne risque pas non plus de perdre un point de vie en exécutant une action simple ou une autre activité exigeante tant qu'il reste à 0 point de vie. Si le personnage se retrouve entre  -1 et -9 points de vie il ne tombe pas inconscient et ne perd pas automatiquement un point de vie par round. Si les points de vie du personnage tombent à moins 10 ou plus bas celuici meurt instantanément 	x
Flammes de Phlégéthos	Tieffelin	"Vous avez appris à maîtriser les flammes de l'enfer. Vous obtenez les bénéfices suivants :
Augmentez votre valeur d'Intelligence ou de Charisme de 1, pour un maximum de 20.
Lorsque vous infligez des dégâts de feu avec un sort que vous lancez, vous pouvez relancer n'importe quel 1 sur vos dés de dégâts de feu, mais vous devez forcément utiliser le nouveau résultat obtenu, mais s'il s'agit à nouveau d'un 1.
À chaque fois que vous lancez un sort qui inflige des dégâts de feu, vous pouvez décider que des flammes encerclent votre tête jusqu'à la fin de votre prochain tour. Les flammes ne blessent ni vous ni vos possessions, et elles émettent une lumière vive dans un rayon de 9 mètres autour de vous ainsi qu'une lumière faible sur 9 mètres de plus. Tant que les flammes sont présentes, toute créature, se trouvant à 1,50 mètre ou moins de vous et qui vous touche au cours d'une attaque au corps à corps subit 1d4 dégâts de feu."	
Fluidité du mithril	Forgelier, corps de mithril	Le Bonus de dextérité maximal que le Forgelier peut appliquer à sa classe d'armure augmente de 1. De plus le malus d'armure au test d'Acrobatie, déplacement silencieux, discrétion, équilibre, escalade, escamotage, évasion et saut est réduit de 1. Ce don peut être choisi plusieurs fois. Mais le malus d'armure aux tests ne peut descendre en dessous de 0.	x
Fourreau de protection	Nain	Le fourreau de protection de votre dague de clan vous sert à parer les coups que les adversaires que vous affrontez vous rendent. Lorsque vous attaquez avec votre dague de clan et que vous tenez son fourreau en seconde main, vous obtenez un bonus de bouclier de +2 à la CA contre chaque cible que vous attaquez, que vous touchiez ou non, jusqu'au début de votre prochain tour.	
Fureur orc	Demi-orc	"La fureur qui vous habite brûle sans relâche. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Force ou de Constitution de 1, pour un maximum de 20.
Lorsque vous touchez au cours d'une attaque effectuée avec une arme courante ou de guerre, vous pouvez lancer de nouveau un dé de dégâts et l'ajouter en tant que dégâts supplémentaires du type de l'arme. Une fois que vous avez utilisé cette capacité, vous devez terminer un repos court ou long avant de pouvoir la réutiliser.
Immédiatement après avoir utilisé votre trait Acharnement, vous pouvez utiliser votre réaction pour effectuer une attaque avec une arme."	
Furtif	13 ou plus en Dextérité	"Vous êtes expert pour vous faufiler discrètement dans l'ombre. Vous obtenez les avantages suivants :
Vous pouvez essayer de vous cacher d'une créature quand vous êtes dans une zone dont la visibilité est réduite pour elle.
Lorsque vous êtes caché d'une créature et que vous ratez une attaque à distance avec une arme, l'attaque ne révèle pas votre position.
Une lumière faible n'impose pas un désavantage à vos jets de Sagesse (Perception) en relation avec la vue."	
