Liens	
72	J’ai aidé à mener une rébellion réussie. Les personnes que nous avons mises au pouvoir se sont révélées beaucoup moins agréables que prévu, et maintenant c’est à moi de corriger l’erreur.
73	J’ai grandi dans une grande famille aimante, et je me surprends toujours à essayer de recréer cette atmosphère, où que je sois.
74	J’étais sur un chemin sombre dans ma jeunesse, et j’aurais pu finir dans un bien pire endroit sans un ami.
75	Je suis désespérément amoureuse d’un ami proche, et j’ai peur qu’il ne ressente pas la même chose.
76	J’ai vu un démon invoqué une fois. Il a regardé droit dans mes yeux, et j’ai bien peur qu’il ait vu mon âme. La nuit, quand je suis seul, parfois je me surprends à murmurer son nom à voix basse.
77	Un monstre a attaqué la ferme familiale quand j’étais jeune. Un aventurier est arrivé juste à temps pour nous sauver, et à partir de ce moment-là, j’ai su ce que je voulais être.
78	J’ai vu un grand mage célèbre réaliser une série d’illusions lors d’un festival en ville, et depuis, je suis obsédé par la magie.
79	Je me suis perdu dans les bois quand j’étais enfant. Je suis resté seul pendant des jours sans manger ni boire. Un druide m’a trouvé et m’a ramené chez moi. Depuis, j’ai toujours rendu hommage à la nature.
80	Je me suis perdu dans les montagnes quand j’étais enfant. J’ai erré seul pendant des jours jusqu’à ce qu’une bande de nains me trouve. Ils m’ont ramenée auprès de ma famille, et j’ai toujours été reconnaissante.
81	J’ai un porte-bonheur que je ne laisserai voir à personne d’autre, sinon le sort sera brisé.
82	Je garde un petit couteau en argent attaché à une chaîne autour du cou. Je ne le dégainerai pas avant le moment de tuer le monstre que je chasse.
83	J’ai un tatouage dont je ne me souviens pas m’être fait — un fouillis déroutant de formes géométriques, de lignes et de runes que je ne comprends pas. Si seulement je pouvais trouver quelqu’un qui pourrait me dire ce qu’ils signifient.
84	J’ai une difformité hideuse — résultat d’une rencontre avec un cruel sorcier magique sauvage, et c’est pourquoi je préfère tuer un sorcier plutôt que de croiser son regard.
85	J’ai grandi entouré d’un type particulier d’animal (chevaux, chiens, loups, oiseaux, vaches, etc.), et j’ai toujours eu une réelle affection pour eux — sans parler d’une connaissance encyclopédique de leurs habitudes alimentaires et de leurs schémas migratoires.
86	J’ai une carte imprimée sur un étrange type de papier qui représente une ville sans nom dans un pays qui n’existe pas.
87	J’ai un désir insatiable d’essayer de nouvelles choses — la nourriture, les expériences, les escapades audacieuses... Plus c’est extravagant, mieux c’est.
88	Je rassemble des notes détaillées et abondantes sur un type très spécifique de données — humidité, température ambiante, nombre de côtés sur les objets, etc. Je n’expliquerai pas pourquoi.
89	Il n’y a pas de personne plus importante que le groupe, et je donnerais volontiers ma vie pour le défendre.
90	Ma diesse (dieu) a disparu. Je dois les retrouver et les ramener sains et saufs.
91	Ma diesse (dieu) a disparu. Je dois les retrouver et les tabasser jusqu’à ce qu’ils s’excusent pour ce qu’ils ont fait.
92	Je cherche quelqu’un pour me remplacer après mon départ.
93	Mon arme est ma meilleure (certains diraient la seule) amie. Je lui parle parfois.
94	Je vis dans l’ombre d’un frère ou d’une sœur plus âgée, plus réussie. Je vais les éclipser par tous les moyens nécessaires.
95	Je ne suis que le dernier d’une longue lignée de soldats menant une guerre que la plupart des gens ignorent.
96	Je suis juré de respecter les codes de ma guilde.
97	Mon vaisseau/cheval/moyen de transport est, la plupart des gens le soupçonnent, mon unique véritable amour.
98	J’ai conclu un marché avec une puissante fée, et maintenant chaque année, je dois leur apporter un sacrifice quelconque, sinon ils m’enleveront à jamais.
99	J’ai vendu mon âme à une sorcière en échange de richesse et de pouvoir. Maintenant, si je veux le récupérer, je devrai lui apporter quelque chose de mieux en échange.
100	J’ai un groupe d’amis proches pour qui je ferais n’importe quoi.
	
Défauts	
d100	
1	(Acolyte) Je juge les autres sévèrement et moi-même encore plus sévèrement.
2	(Acolyte) Je fais trop confiance à ceux qui détiennent le pouvoir au sein de la hiérarchie de mon temple/ordre/royaume.
3	(Acolyte) Ma piété me pousse parfois à faire aveuglément confiance à ceux qui professent la foi en mon dieu.
4	(Acolyte) Je suis inflexible dans ma façon de penser.
5	(Acolyte) Je me méfie des inconnus et j’attends le pire d’eux.
6	(Acolyte) Une fois que je choisis un objectif, je deviens obsédé par lui au détriment de tout le reste dans ma vie.
7	(Charlatan) Je ne peux pas résister à un joli visage.
8	(Charlatan) Je suis toujours endetté. Je dépense mes gains mal acquis en luxes décadents plus vite que je ne les apporte.
9	(Charlatan) Je suis convaincu que personne ne pourrait jamais me tromper comme je trompe les autres.
10	(Charlatan) Je suis trop gourmand pour mon propre bien. Je ne peux pas résister à prendre un risque s’il y a de l’argent en jeu.
11	(Charlatan) Je ne peux pas résister à l’envie d’arnaquer des gens plus puissants que moi.
12	(Charlatan) Je déteste l’admettre et je vais me détester pour ça, mais je courrai et je préserverai ma propre cachette si ça devient difficile.
13	(Criminel) Quand je vois quelque chose de précieux, je ne peux penser qu’à comment le voler.
14	(Criminel) Quand je dois choisir entre l’argent et mes amis, je choisis généralement l’argent.
15	(Criminel) S’il y a un plan, je l’oublierai. Si je ne l’oublie pas, je l’ignore.
16	(Criminel) J’ai un « signe » qui révèle quand je suis en train de mentir.
17	(Criminel) Je fais demi-tour et je fuis quand ça va mal.
18	(Criminel) Une personne innocente est en prison pour un crime que j’ai commis. Ça me va.
19	(Artiste) Je ferai n’importe quoi pour gagner la célébrité et la renommée.
20	(Artiste) Je suis fan d’un joli visage.
21	(Artiste) Un scandale m’empêche de rentrer chez moi un jour. Ce genre de problème me suit partout.
22	(Artiste) J’ai déjà tourné en dérision un noble qui veut encore ma tête. C’était une erreur que je vais probablement répéter.
23	(Artiste) J’ai du mal à cacher mes vrais sentiments. Ma langue acérée me cause des ennuis.
24	(Artiste) Malgré tous mes efforts, je suis peu fiable avec mes amis.
25	(Héros Populaire) Le tyran qui règne sur ma terre ne reculera devant rien pour me voir tué.
26	(Héros Populaire) Je suis convaincu de l’importance de mon destin et aveugle à mes défauts et au risque d’échec.
27	(Héros Populaire) Les gens qui me connaissaient quand j’étais jeune connaissent mon honteux secret, donc je ne pourrai jamais rentrer chez moi.
28	(Héros Populaire) J’ai une faiblesse pour les vices de la ville, surtout les boissons fortes.
29	(Héros Populaire) En secret, je crois que les choses iraient mieux si j’étais un tyran dominant la terre.
30	(Héros Populaire) J’ai du mal à faire confiance à mes alliés.
31	(Artisan de la Guilde) Je ferais n’importe quoi pour mettre la main sur quelque chose de rare ou d’inestimable.
32	(Artisan de la Guilde) Je suppose vite que quelqu’un essaie de me tromper.
33	(Artisan de la Guilde) Personne ne doit jamais apprendre que j’ai volé de l’argent dans les coffres de la guilde.
34	(Artisan de la Guilde) Je ne suis jamais satisfaite de ce que j’ai – j’en veux toujours plus.
35	(Artisan de la Guilde) Je tuerais pour acquérir un titre de noblesse.
36	(Artisan de la Guilde) Je suis terriblement jaloux de quiconque peut éclipser mon œuvre. Partout où je vais, je suis entouré de rivaux.
37	(Ermite) Maintenant que je suis de retour dans ce monde, j’apprécie un peu trop ses plaisirs.
38	(Ermite) J’aime garder des secrets et je ne les partage avec personne.
39	(Ermite) J’ai des pensées sombres et sanguinaires que mon isolement et ma méditation n’ont pas réussi à apaiser.
40	(Ermite) Je suis dogmatique dans mes pensées et ma philosophie.
41	(Ermite) J’ai laissé mon besoin de gagner les disputes éclipser les amitiés et l’harmonie.
42	(Ermite) Je prendrais trop de risques pour retrouver un peu de connaissance perdu.
43	(Noble) Je crois secrètement que tout le monde est inférieur à moi.
44	(Noble) Je cache un secret vraiment scandaleux qui ruinerait ma famille à jamais.
45	(Noble) J’entends trop souvent des insultes et des menaces voilées dans chaque mot qui m’est adressé, et je me mets vite en colère.
46	(Noble) J’ai un désir insatiable de plaisirs charnels.
47	(Noble) En fait, le monde tourne autour de moi.
48	(Noble) Par mes paroles et mes actes, j’apporte souvent honte à ma famille.
49	(Étranger) Je suis trop passionné par la bière, le vin et d’autres substances enivrantes.
50	(Étranger) Il n’y a pas de place pour la prudence dans une vie vécue pleinement.
51	(Étranger) Je me souviens de chaque insulte que j’ai reçue et nourris un ressentiment silencieux envers quiconque m’a déjà fait du tort.
52	(Étranger) Je suis lente à faire confiance aux membres d’autres races, tribus et sociétés.
53	(Étranger) La violence est ma réponse à presque tous les défis.
54	(Étranger) Ne t’attends pas à ce que je sauve ceux qui ne peuvent pas se sauver eux-mêmes. C’est la manière de la nature que les forts prospèrent et que les faibles périssent.
55	(Sage) Je me laisse facilement distraire par la promesse d’informations.
56	(Sage) La plupart des gens crient et fuient quand ils voient un démon. Je m’arrête et je prends des notes sur son anatomie.
57	(Sage) Déverrouiller un mystère ancien vaut le prix d’une civilisation.
58	(Sage) Je néglige les solutions évidentes au profit de solutions compliquées.
59	(Sage) Je parle sans vraiment réfléchir à mes mots, insultant invariablement les autres.
60	(Sage) Je ne peux pas garder un secret pour sauver ma vie ou celle de quelqu’un d’autre.
61	(Marin) Je suis les ordres, même si je pense qu’ils sont faux.
62	(Marin) Je dirai n’importe quoi pour éviter de devoir faire du travail supplémentaire.
63	(Marin) Dès que quelqu’un remet en question mon courage, je ne recule jamais, peu importe le danger de la situation.
64	(Marin) Une fois que je commence à boire, il m’est difficile d’arrêter.
65	(Marin) Je ne peux m’empêcher de mettre dans ma poche des pièces en vracs et d’autres bibelots que je croise.
66	(Marin) Ma fierté mènera probablement à ma destruction.
67	(Soldat) L’ennemi monstrueux que nous avons affronté au combat me laisse encore frissonner de peur.
68	(Soldat) J’ai peu de respect pour quiconque n’est pas un guerrier aguerri.
69	(Soldat) J’ai commis une terrible erreur au combat qui a coûté de nombreuses vies – et je ferais n’importe quoi pour garder cette erreur secrète.
70	(Soldat) Ma haine de mes ennemis est aveugle et irrationnelle.
71	(Soldat) J’obéis à la loi, même si elle cause la misère.
72	(Soldat) Je préfère manger mon armure plutôt que d’admettre quand je me trompe.
73	(Oursin) Si je suis en infériorité numérique, je fuirai un combat.
74	(Oursin) L’or me semble beaucoup d’argent, et je ferais à peu près n’importe quoi pour en avoir plus.
75	(Oursin) Je ne ferai jamais entièrement confiance à personne d’autre qu’à moi-même.
76	(Oursin) Je préfère tuer quelqu’un dans son sommeil plutôt que de me battre franchement.
77	(Oursin) Ce n’est pas voler si j’en ai plus besoin que quelqu’un d’autre.
78	(Oursin) Les personnes qui ne peuvent pas se débrouiller reçoivent ce qu’elles méritent.
79	(Citadelle Noire) Ma croyance en une puissance supérieure me rend négligent, jugeant et impulsif.
80	(Citadelle Noire) J’ai une curiosité morbide qui m’entraîne dans des situations dangereuses, et me pousse à gratter les blessures émotionnelles comme une croûte fraîchement guérie.
81	(Citadelle Noire) J’ai du mal à faire confiance à des gens trop différents de moi.
82	(Citadelle Noire) Ma foi dans les capacités de mes amis frôle le danger de naïfité.
83	(Citadelle Noire) Je crois que tout le monde est innocent jusqu’à preuve du contraire, même lorsque les preuves sont accablantes.  
84	(Citadelle Noire) Je suis convaincu que chaque monstre est simplement incompris et, au fond, qu’il a juste besoin d’être aimé. J’ai essayé de caresser un ours-hibou une fois, et je vais recommencer.
85	(Citadelle Noire) Je vendrais mon âme pour une chance de gloire et de fortune.
86	(Citadelle Noire) Je fais semblant que blesser les gens est nécessaire. Vraiment, j’aime bien ça.
87	(Citadelle Noire) Quiconque me regarde bizarrement est déjà à plus de la moitié du chemin pour se faire battre.
88	(Citadelle Noire) Je tiens bien plus à mes biens qu’à mes amis.
89	(Citadelle Noire) J’ai une faiblesse pour les belles choses.
90	(Citadelle Noire) Je ne peux laisser personne savoir que je suis autre chose qu’un tueur froid. Montrer de la faiblesse, c’est la mort dans cette vie.
91	(Citadelle Noire) Je suis un lâche. Quand les choses tournent mal, je ne peux pas m’empêcher de prendre la fuite et de fuir.
92	(Citadelle Noire) J’ai une peur paralysante de [d6. 1. L’obscurité, 2. Espaces étroits, 3. Espaces ouverts, 4. Heights, 5. Araignées, 6. Tout cela], et je perds la capacité de penser rationnellement quand je suis avec l’un d’eux.
93	(Citadelle Noire) Je me considère comme le champion évoqué dans une ancienne prophétie et donc ne peut être tué ni vaincu au combat.
94	(Citadelle Noire) Je suis prêt à accepter d’énormes dégâts collatéraux pour la victoire.
95	(Citadelle Noire) Il n’y a pas d’endroit aussi bas où je ne me baisserais pas pour avoir un coup de main sur mes ennemis (ou mes amis).
96	(Citadelle Noire) Je suis pratiquement incapable de prendre une décision.
97	(Citadelle Noire) Je suis pratiquement incapable de réfléchir avant d’agir.
98	(Citadelle Noire) Les bruits forts, les objets brillants et tout petit animal mignon sont des moyens infaillibles de ne pas perdre la concentration sur la tâche à accomplir.
99	(Citadelle Noire) Un ami proche m’a trahi par le passé. Maintenant, je ne laisserai plus jamais personne s’approcher autant.
100	(Citadelle Noire) J’ai failli me noyer une fois, et maintenant je ne peux pas entrer ni même approcher un plan d’eau. Cela inclut les bains.
101	(Citadelle Noire) Du sang, de la bave, l’odeur de chair en décomposition ? Non ! Je suis incurablement sensible et je préférerais mourir plutôt que de m’approcher (et encore moins toucher) quelque chose de dégoûtant.
102 	(Citadelle Noire) Je suis une personne très importante, et les personnes très importantes ne portent pas leurs propres affaires. En plus, mes bras se fatiguent.
103	(Citadelle Noire) Il n’y a rien de tel qu’un inconnu sympathique ou un garde de ville poli pour me convaincre qu’une sinistre conspiration est en cours.
104	(Citadelle Noire) Tout le monde est contre moi, alors je ferais mieux de les avoir d’abord.
105	(Citadelle Noire) Les objets brillants et chers ont tendance à disparaître autour de moi.
106	(Citadelle Noire) Je suis pragmatique à l’excès et je prendrai toujours la voie la plus sensée, qu’elle soit sans cœur ou insensible.
107	(Citadelle Noire) J’apprécie le son de ma propre voix mélodieuse et j’ai une prédilection à démontrer avec une clarté cristalline la quantité pure et la variation vertigineuse que l’on trouve dans la multitude de mots à ma disposition.
108	(Citadelle Noire) Pourquoi utiliser autant de mots quand un seul suffit ? Pourquoi parler quand on peut grogner ou lever les yeux au ciel ?
109	(Citadelle Noire) J’exagère chaque geste possible, chaque histoire et chaque cri de douleur.
110	(Citadelle Noire) Mes vêtements doivent être exquis, mes cheveux parfaitement coiffés, et mes chaussures récemment cirées. Je m’arrêterai en plein milieu de l’aventure pour refaire mon look exquis.
111	(Citadelle Noire) Je n’ai aucune notion d’espace personnel ni de limites.
112	(Citadelle Noire) Je veux bien faire, mais j’ai été élevé par des personnes très mauvaises et mes instincts pour savoir ce qui est juste et ce qui est très, très mal est assez brouillé.
113	(Citadelle Noire) Je crois que toute personne appartenant à une classe sociale inférieure est inférieure à moi et que ceux qui sont plus haut placés que moi sont irréprochables.
114	(Citadelle Noire) Il n’y a rien que j’aime plus que de trouver le bar le plus dur de la ville et de semer les ennuis.
115	(Citadelle Noire) J’ai le don de m’éloigner ou de trouver quelque chose de vraiment important à faire juste au moment où un travail difficile est sur le point d’être accompli.
116	(Citadelle Noire) J’adore cuisiner. Je suis spectaculairement mauvais à ça et je craque ou explose au moindre signe de critique.
117	(Citadelle Noire) Je vois des ennemis partout — des démons dans chaque ombre, des monstres sous chaque roche, un vampire dans chaque sourire.
118	(Citadelle Noire) J’ai l’impression d’avoir le don de dire la chose la moins tactique possible à tout moment.
119	(Citadelle Noire) Il y a une personne puissante qui veut ma mort et essaie régulièrement de faire en sorte que ça arrive.
120	(Citadelle Noire) Peu importe à quel point l’insulte ou la manipulation était minime, j’ai probablement déjà tué pour moins que ça.
	
Idéaux	
d100	
1	L’honnêteté. Je dis toujours la vérité, même quand cela attire des ennuis à mes amis et moi.
2	Le respect. J’essaie toujours de traiter les gens avec respect et j’attends qu’ils fassent de même pour moi.
3	Légalité. Les lois et les règles sont tout ce qui nous sépare des animaux. Ils existent pour être suivis, et ceux qui les enfreignent doivent être tenus responsables.
4	Intégrité. Ne fais jamais une promesse que tu ne peux pas tenir. Ne prenez jamais une décision que vous ne resterez pas ferme. Ta parole est ton engagement.
5	Confiance. Une fois votre confiance gagnée, elle devient inébranlable.
6	Dignité. D’autres personnes méritent d’avoir accès à ce dont elles ont besoin pour mener une vie digne. Priver quelqu’un de la capacité de vivre dignement, c’est aussi bon que de le tuer. Ta propre dignité est quelque chose que tu protèges aussi étroitement que ta vie.
7	La créativité. Les actes de création sont ce qui rend la vie digne d’être vécue, et vous valorisez l’originalité avant tout. On fait rarement, pense ou dit la même chose deux fois.
8	La responsabilité. Un engagement doit être respecté, que ce soit envers nos amis, notre famille, un credo, un royaume ou un dieu.
9	Le pouvoir. Un jour, tu atteindras la maîtrise des autres.
10	La cupidité. Tout ce que vous faites est au service de l’accumulation — argent, savoir, antiquités rares, peu importe. Tu veux plus, plus, plus.
11	La famille. Le sang coule plus épais que l’eau, et notre devoir envers notre famille est le plus important que nous ayons.
12	La rédemption. Aucun péché ni erreur ne laisse une tache assez sombre pour que la véritable rédemption ne puisse l’effacer. La route est longue et difficile, mais au bout il y a une lumière.
13	Honor. J’ai un code que je respecte et que je ne dois jamais enfreindre.
14	Dogmatisme. L’obéissance exacte à la lettre de la loi (qu’il s’agisse de textes sacrés ou de règles et règlements bureaucratiques) est le fondement de tout comportement moral et approprié.
15	La foi. La lumière du divin est la seule qui peut percer l’obscurité de l’indécision et révéler le véritable chemin. Tout le reste n’est que des murmures de faux prophètes.
16	Beauté. La bonté réside dans les belles choses, les lieux et les gens. Seule une chose de vraiment maléfique pouvait être vraiment laide.
17	Peut-être. Ceux qui ont le droit de régner et de décider ce qui est bon ou mal sont ceux qui ont la force de le faire — d’imposer leur volonté au monde.
18	C’est juste. L’impartialité et traiter chaque question de manière à ce que toutes les parties en bénéficient également est l’essence même de la morale.
19	L’égalité. Je traite tout le monde de la même façon, qu’il s’agisse d’un prince ou d’un pauvre, d’un dieu ou d’un gobelin.
20	La liberté. Règles, rois, royaumes, dieux — ce sont tous une autre forme de chaîne autour de notre cou.
21	Loyauté. Mes amis, ma famille, mes camarades — peu importe que ce qu’ils fassent soit bon ou mal ; Je suis de leur côté.
22	Communauté. Les liens que nous tissons avec ceux qui nous entourent doivent être renforcés pour un bénéfice mutuel.
23	Les gens. Des idéaux élevés, des lois, des dieux et des traditions — tout dépend des personnes auxquelles vous tenez et de ce que vous feriez pour elles. Si je tiens assez à quelqu’un, il n’y a rien que je ne ferais pas pour lui, et le bien ou le mal n’entre même pas en compte.
24	Aspiration. Richesse, statut, savoir — ce sont toutes des choses à collecter par le travail acharné et le talent naturel.
25	La société. Les besoins du plus grand nombre l’emportent sur ceux de quelques-uns. Nous devons toujours faire ce qui est le mieux pour le plus grand nombre de personnes, même si de tels actes de calcul éthique détaché laissent un goût amer sur le moment.
26	La rationalité. La raison et la logique sont les seuls vrais moyens de prendre des décisions ; L’émotion doit être retirée de l’équation.
27	L’émotion. On peut rationaliser les atrocités, les meurtres et la cupidité, mais son instinct sait toujours quand quelque chose ne va pas. Fais confiance à ton cœur, pas à ta tête.
28	Indépendance. Les organisations, les gouvernements, même les amitiés — ils ne font que me freiner.
29	Le pouvoir. Plus tu es puissant, plus tu peux faire de bien. Par conséquent, la poursuite du pouvoir est un bien axiomatique.
30	Obligation. J’ai prêté un serment il y a longtemps, et le tenir motive tout ce que je fais.
31	Gloire. Je dois prouver ma valeur par de grandes actions. Ce n’est qu’alors que j’apporterai gloire à mon nom et à mon peuple.
32	La civilisation. Sécurité, sûreté, abondance — ce n’est qu’en étendant les frontières du monde civilisé que nous pouvons surmonter les horreurs barbares de la nature.
33	Progrès. Petit à petit, mais inexorablement malgré tout, nous pouvons élargir notre compréhension de la magie, de la médecine, de la science, de l’art et de la philosophie pour être meilleurs que ceux qui nous ont précédés.
34	Tradition. Les rites, histoires et chants d’un temps loin révolu nous rappellent qui nous sommes et nous enseignent ce que nous devons faire. La sagesse des anciens doit être préservée, honorée et défendue.
35	Effort artistique. L’art – qu’il s’agisse d’histoire, de chanson, d’argile, de peinture ou de mouvement – c’est la façon dont nous racontons des histoires, et les histoires que nous racontons définissent qui nous sommes.
36	Découverte. Quels mondes nouveaux étranges pourraient se trouver au-delà de l’horizon ? Que pourrions-nous en apprendre ?
37	La hiérarchie. Les castes sociales strictes dans lesquelles chacun connaît sa place sont la seule barrière entre ordre et chaos, prospérité et chaos anarchique.
38	Charity. Je sacrifierais mon propre bonheur et mon confort pour aider ceux qui en ont besoin.
39	L’innovation. Les nouvelles idées et les nouvelles créations me fascinent, et il n’y a pas de vocation plus élevée que la recherche de nouvelles inventions au service du peuple.
40	La gentillesse. Je traite chaque personne que je rencontre avec la même gentillesse et l’hospitalité que j’aimerais qu’on me témoigne. Si plus de gens étaient comme ça, nous aurions peut-être un monde meilleur à partager.
41	L’altruisme. Il vaut mieux donner que recevoir ou garder. Je crois qu’aider les autres est l’appel le plus élevé auquel on puisse répondre.
42	Devoir. Que ce soit pour la couronne, l’État, le peuple, un dieu ou un code — le service honorable à quelque chose de plus grand que soi-même est ce qui compte le plus.
